epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695,1.2668,0.7795,0.7898,1.1194,0.9127,0.5335,0.4875,0.0361,0.7721,0.8791
2,0.0001,0.6847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8115,1.1308,0.8086,0.8151,1.1254,0.8751,0.5153,0.4532,0.531,0.7649,0.8164
3,0.0001,0.6382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7699,1.0096,0.8219,0.8277,1.0017,0.822,0.5273,0.4781,0.1602,0.6174,0.7358
4,0.0001,0.6114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7596,1.0032,0.8221,0.826,0.975,0.8259,0.5274,0.4819,0.2238,0.6049,0.7129
5,0.0001,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7486,0.9618,0.8322,0.8375,0.9843,0.7788,0.5866,0.5196,0.3164,0.6296,0.7016
6,0.0001,0.5741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7495,1.0053,0.8243,0.8286,0.9801,0.7767,0.5712,0.5244,0.328,0.6163,0.7017
7,0.0001,0.5611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193,0.9101,0.84,0.8448,0.8973,0.7621,0.6037,0.5436,0.1485,0.5232,0.6441
8,0.0001,0.5535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717,0.8966,0.8441,0.8473,0.915,0.7479,0.6036,0.5454,0.2128,0.5374,0.6416
9,0.0001,0.5429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333,0.9134,0.8419,0.8448,0.8995,0.7716,0.6043,0.5392,0.0263,0.5238,0.6483
10,0.0001,0.5354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7297,0.9334,0.8463,0.8496,0.9233,0.7778,0.6039,0.5488,0.382,0.602,0.6509
11,0.0001,0.5278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.8962,0.8443,0.847,0.8812,0.7724,0.6066,0.5369,0.2679,0.5231,0.6197
12,0.0001,0.5204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7199,0.8843,0.8453,0.8488,0.9005,0.7474,0.6342,0.5684,0.0611,0.5432,0.6374
13,0.0001,0.5157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021,0.8686,0.848,0.8514,0.874,0.7296,0.6197,0.5542,0.1985,0.5075,0.6162
14,0.0001,0.5069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7156,0.8915,0.8489,0.8512,0.8957,0.756,0.6346,0.5694,0.3254,0.5601,0.6269
15,0.0001,0.5062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6983,0.8433,0.8547,0.8552,0.8417,0.7241,0.6312,0.5534,0.1495,0.4623,0.5954
16,0.0001,0.5016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046,0.8524,0.8531,0.8544,0.8292,0.7231,0.6366,0.5725,0.1019,0.4645,0.589
17,0.0001,0.4918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.8386,0.855,0.8565,0.8078,0.705,0.616,0.5518,0.0982,0.4325,0.567
18,0.0001,0.4893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027,0.8542,0.8513,0.853,0.8683,0.7401,0.6164,0.5588,0.092,0.5034,0.6134
19,0.0001,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975,0.8438,0.8571,0.8584,0.8329,0.7373,0.6127,0.5504,0.2875,0.4738,0.5784
20,0.0001,0.4791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211,0.8995,0.8522,0.8547,0.8836,0.743,0.6227,0.5596,0.3698,0.5468,0.6154
21,0.0001,0.4777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6908,0.831,0.8584,0.8601,0.8375,0.7162,0.6434,0.5858,0.2702,0.4694,0.5762
22,0.0001,0.4744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6958,0.8523,0.8515,0.8519,0.8394,0.7127,0.6037,0.5501,0.1478,0.4596,0.593
23,0.0001,0.4716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6832,0.8169,0.8616,0.8609,0.793,0.6999,0.6227,0.5574,0.1047,0.429,0.5558
24,0.0001,0.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764,0.8036,0.8603,0.8617,0.809,0.7129,0.6279,0.5549,0.1106,0.4069,0.5616
25,0.0001,0.4635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189,0.8927,0.8584,0.86,0.8847,0.7464,0.6113,0.5511,0.3973,0.5657,0.6187
26,0.0001,0.4573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926,0.8279,0.8576,0.8597,0.8272,0.7196,0.6484,0.5926,0.1232,0.4437,0.5746
27,0.0001,0.4582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6879,0.8335,0.8599,0.8612,0.81,0.6962,0.5958,0.5342,0.2336,0.4452,0.5631
28,0.0001,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814,0.8131,0.8603,0.8611,0.8113,0.7135,0.6302,0.5665,-0.005,0.4312,0.5728
29,0.0001,0.4514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6872,0.8309,0.8572,0.8586,0.8299,0.7168,0.5844,0.5039,0.186,0.4463,0.5743
30,0.0001,0.4479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6782,0.8084,0.8606,0.8615,0.828,0.7053,0.6303,0.5741,0.2,0.4479,0.571
31,0.0001,0.4445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726,0.7914,0.8632,0.8637,0.7886,0.6904,0.6545,0.5871,0.1729,0.3965,0.5465
32,0.0001,0.4403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6713,0.7957,0.8618,0.8617,0.8079,0.6896,0.6447,0.5821,0.0945,0.4134,0.5559
33,0.0001,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6858,0.8202,0.8584,0.8599,0.8251,0.7136,0.6499,0.579,0.1568,0.4562,0.5773
34,0.0001,0.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6739,0.7932,0.8626,0.8636,0.7913,0.6971,0.641,0.5798,0.1031,0.4008,0.547
35,0.0001,0.4337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6747,0.8053,0.8599,0.8608,0.8071,0.6911,0.6172,0.5688,0.0915,0.4254,0.5621
36,0.0001,0.4309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6815,0.8147,0.8594,0.8615,0.805,0.7092,0.6493,0.5943,0.1942,0.4411,0.5604
37,0.0001,0.4277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787,0.8073,0.8607,0.8606,0.7831,0.6977,0.6052,0.5412,0.0712,0.3944,0.5517
38,0.0001,0.4251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6735,0.7915,0.8634,0.8637,0.806,0.7168,0.6458,0.5787,0.1202,0.4187,0.5578
39,0.0001,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6804,0.8033,0.8604,0.8623,0.8121,0.7111,0.6484,0.5912,0.1042,0.4058,0.5618
40,0.0001,0.4214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742,0.7903,0.8628,0.863,0.7816,0.6768,0.6186,0.5577,0.074,0.3868,0.5424
41,0.0001,0.4204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774,0.8055,0.8629,0.863,0.7965,0.6915,0.6203,0.5589,0.1037,0.4159,0.5543
42,0.0001,0.4154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6761,0.8022,0.8605,0.861,0.8044,0.6891,0.6301,0.5704,0.0803,0.4139,0.5603
43,0.0001,0.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776,0.8032,0.8603,0.8613,0.8149,0.6941,0.6332,0.5646,0.1279,0.4147,0.5608
44,0.0001,0.4132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698,0.7932,0.8628,0.8634,0.7958,0.6956,0.6291,0.5647,0.0673,0.4062,0.5504
45,0.0001,0.4088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6713,0.7893,0.8632,0.864,0.7929,0.6927,0.6539,0.591,0.1373,0.4,0.5458
46,0.0001,0.4073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666,0.7884,0.8633,0.8639,0.7885,0.6818,0.6649,0.5968,0.1279,0.4054,0.5452
47,0.0001,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669,0.7937,0.8622,0.8628,0.7917,0.6849,0.6607,0.592,0.0876,0.409,0.5466
48,0.0001,0.4032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6691,0.7891,0.8636,0.8638,0.7883,0.6801,0.6506,0.589,0.0938,0.393,0.547
49,0.0001,0.4019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,0.7925,0.8628,0.8636,0.8056,0.7061,0.6433,0.5893,0.1604,0.4107,0.5517
50,0.0001,0.3976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942,0.8427,0.8627,0.8635,0.8254,0.7133,0.66,0.6084,0.3065,0.4906,0.5679
51,0.0001,0.3957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721,0.7994,0.8617,0.8618,0.8021,0.691,0.6578,0.6001,0.1883,0.4263,0.5509
52,0.0,0.3958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6733,0.805,0.8619,0.8623,0.8,0.6935,0.6512,0.5888,0.1583,0.4183,0.5489
53,0.0,0.3923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0.7843,0.8643,0.8644,0.787,0.6732,0.6194,0.5629,0.0857,0.3907,0.5425
54,0.0,0.3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666,0.7857,0.8641,0.8647,0.785,0.69,0.6457,0.5904,0.1136,0.387,0.5391
55,0.0,0.3893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6701,0.7936,0.864,0.864,0.7956,0.681,0.6183,0.563,0.0973,0.4026,0.5509
56,0.0,0.3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716,0.7983,0.8636,0.8643,0.7962,0.6956,0.6366,0.5861,0.1758,0.4064,0.547
57,0.0,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.8045,0.8648,0.865,0.8006,0.7037,0.6458,0.5881,0.1632,0.4178,0.5525
58,0.0,0.3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6643,0.7836,0.8643,0.8649,0.7892,0.68,0.6502,0.5953,0.0781,0.402,0.5448
59,0.0,0.3812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6693,0.7922,0.863,0.8628,0.7973,0.6834,0.6158,0.5553,0.1625,0.4086,0.5478
60,0.0,0.3801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6672,0.7865,0.8645,0.8642,0.7891,0.6755,0.6308,0.5754,0.1136,0.3968,0.5425
61,0.0,0.3799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.7924,0.8652,0.865,0.795,0.687,0.6046,0.5461,0.148,0.4118,0.5462
62,0.0,0.3778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6685,0.794,0.8639,0.864,0.7954,0.6814,0.6608,0.602,0.1404,0.4085,0.5485
63,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6661,0.7894,0.8643,0.8647,0.7919,0.6849,0.6035,0.5538,0.135,0.4013,0.5431
64,0.0,0.3742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6657,0.7874,0.8641,0.8641,0.7892,0.6774,0.6149,0.5626,0.1043,0.3918,0.5419
65,0.0,0.3713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6761,0.8076,0.8633,0.8635,0.8171,0.6985,0.6148,0.5601,0.1453,0.4248,0.559
66,0.0,0.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688,0.7952,0.8636,0.8638,0.8013,0.6929,0.6419,0.5772,0.1535,0.4124,0.5489
67,0.0,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6653,0.7876,0.865,0.8649,0.7833,0.6947,0.6147,0.5497,0.1041,0.3828,0.5378
68,0.0,0.3671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6687,0.7944,0.8637,0.8639,0.7963,0.6868,0.6017,0.5446,0.1579,0.4034,0.5457
69,0.0,0.3668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6735,0.8,0.8635,0.8636,0.8013,0.7006,0.6129,0.553,0.1662,0.409,0.5502
70,0.0,0.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704,0.797,0.8635,0.8638,0.8008,0.6961,0.5882,0.5339,0.1419,0.398,0.5495
71,0.0,0.3634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715,0.7979,0.863,0.8631,0.8043,0.6969,0.5997,0.5449,0.1787,0.413,0.5521
72,0.0,0.3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664,0.7914,0.8633,0.8636,0.795,0.6955,0.5898,0.537,0.1514,0.3987,0.5453
73,0.0,0.3619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696,0.7956,0.8638,0.8638,0.7942,0.6936,0.6132,0.5562,0.1238,0.3937,0.5464
74,0.0,0.3596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682,0.7955,0.8633,0.8636,0.7892,0.6908,0.5983,0.5419,0.1571,0.395,0.5421
75,0.0,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678,0.7958,0.8631,0.8629,0.7903,0.6979,0.5996,0.5418,0.1037,0.3883,0.5443
76,0.0,0.3577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6706,0.7998,0.8631,0.8632,0.8006,0.7013,0.5981,0.5341,0.1752,0.4116,0.5474
77,0.0,0.3569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.793,0.8633,0.8636,0.7884,0.6908,0.5975,0.5329,0.1297,0.3888,0.5418
78,0.0,0.3558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6673,0.7945,0.8637,0.8637,0.7886,0.6866,0.5984,0.5367,0.1249,0.389,0.5417
79,0.0,0.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6705,0.8007,0.8632,0.863,0.8009,0.6949,0.5948,0.5305,0.1256,0.3941,0.5492
80,0.0,0.3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696,0.7981,0.863,0.8632,0.7911,0.6966,0.5961,0.5369,0.1246,0.3852,0.5433
81,0.0,0.3532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684,0.7978,0.8625,0.8626,0.7916,0.6989,0.5958,0.5372,0.1241,0.3874,0.5438
82,0.0,0.3523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6674,0.7955,0.8628,0.8627,0.7907,0.6941,0.5984,0.5337,0.1134,0.3885,0.5432
83,0.0,0.3523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6693,0.7982,0.863,0.863,0.7967,0.6933,0.5851,0.5265,0.1311,0.3956,0.5469
84,0.0,0.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694,0.7995,0.8629,0.8632,0.7958,0.6929,0.5865,0.5279,0.168,0.4053,0.5452
85,0.0,0.3505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6693,0.7982,0.8629,0.8631,0.7961,0.694,0.5849,0.5275,0.1415,0.398,0.5464
86,0.0,0.3505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6685,0.7971,0.8629,0.8627,0.7923,0.6941,0.5985,0.5337,0.1101,0.3873,0.5451
87,0.0,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6685,0.7973,0.863,0.8627,0.7934,0.6903,0.5853,0.5237,0.1109,0.3896,0.5457
88,0.0,0.3484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716,0.8024,0.8632,0.8632,0.7987,0.698,0.5845,0.5226,0.1636,0.4035,0.547
89,0.0,0.3489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698,0.8003,0.863,0.8631,0.7971,0.6936,0.5849,0.521,0.1515,0.4018,0.5465
90,0.0,0.3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678,0.7961,0.8629,0.8631,0.7916,0.6921,0.5983,0.5394,0.131,0.3902,0.5434
91,0.0,0.3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694,0.7989,0.8629,0.863,0.7959,0.6925,0.5985,0.5432,0.143,0.3973,0.5459
92,0.0,0.3468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6679,0.7961,0.8629,0.863,0.7932,0.6947,0.5983,0.5386,0.1199,0.3913,0.5452
93,0.0,0.3466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.8,0.8629,0.8629,0.7976,0.6933,0.5982,0.538,0.1426,0.3986,0.5471
94,0.0,0.3464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698,0.7997,0.8628,0.8629,0.7973,0.6961,0.598,0.5388,0.143,0.3976,0.5469
95,0.0,0.3453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6706,0.8016,0.8627,0.8628,0.7992,0.6969,0.5979,0.5385,0.1493,0.401,0.5479
96,0.0,0.3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6702,0.8008,0.8627,0.8628,0.799,0.7016,0.5977,0.5378,0.1449,0.399,0.5478
97,0.0,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694,0.7995,0.8628,0.8629,0.7978,0.6948,0.5981,0.538,0.1388,0.3975,0.547
98,0.0,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6697,0.7999,0.8628,0.8629,0.7981,0.6984,0.5982,0.5389,0.1407,0.398,0.5471
99,0.0,0.3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696,0.7998,0.8628,0.8629,0.7978,0.6969,0.5982,0.5395,0.1375,0.3969,0.5471
100,0.0,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6692,0.799,0.8628,0.8629,0.7968,0.6976,0.5981,0.5393,0.1371,0.3957,0.5464
