epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.7869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7993,1.072,0.804,0.8096,1.0679,0.8825,0.5148,0.4648,0.0264,0.7206,0.7965
2,0.0001,0.6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8724,1.2359,0.8286,0.8321,1.0943,0.936,0.5105,0.4468,0.5402,0.841,0.8242
3,0.0001,0.5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7463,0.9403,0.8353,0.8379,0.9777,0.8311,0.5551,0.4893,0.2582,0.6573,0.6955
4,0.0001,0.5485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7408,0.9319,0.8362,0.8364,0.9634,0.7936,0.564,0.5066,0.1146,0.6279,0.689
5,0.0001,0.5316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7314,0.9026,0.8385,0.8413,0.926,0.7614,0.5679,0.4956,-0.0083,0.5949,0.6701
6,0.0001,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7082,0.8563,0.8493,0.8512,0.8625,0.7291,0.558,0.4934,0.0768,0.5262,0.6076
7,0.0001,0.5032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702,0.8401,0.8529,0.8529,0.876,0.74,0.5871,0.5273,0.1709,0.5519,0.6121
8,0.0001,0.4965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073,0.8361,0.8512,0.8519,0.8699,0.7275,0.5715,0.5027,0.0378,0.5386,0.6201
9,0.0001,0.4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7023,0.8429,0.8552,0.855,0.8614,0.7255,0.6009,0.5329,0.2915,0.548,0.6026
10,0.0001,0.4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931,0.822,0.8595,0.859,0.8532,0.7258,0.5907,0.5304,0.1343,0.5278,0.5886
